1,Одноклеточные,,,,,,,,Растения,,,,,,,,Грибы,,,,,,,,Членистоногие,,,,,,,,Моллюски,,,,,,,,Черви,,,,,,,,Рыбы,,,,,,,,Рептилии,,,,,,,,Птицы,,,,,,,,Млекопитающие,,,,,,,
Индекс планеты,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь
XG7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FL8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LW2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IS1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -3 1 -1 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 0 -2 2,0 0 0 -5 -2 -2 2,160,2 0 0 0 1 -1 0,-,-,-,-,-,-,-,-,2 -3 0 -3 1 -1 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -1 0 -4 0 -2 4,4 -2 0 -4 3 -2 2,140,0 -3 -5 0 1 0 0,-,-,-,-,-,-,-,-,2 0 -5 -3 1 -1 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 -6 -4 2 -3 2,0 0 -6 -1 0 0 4,180,2 0 0 0 1 -1 0,2 -3 -5 0 1 -1 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -2 -4 0 2 0 2,3 -4 -6 0 0 -2 4,176,0 -3 -5 0 1 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NY1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3 -11 4 0 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-4 -12 1 0 0 0 2,0 0 0 -2 -3 -1 -1,-,-,-3 -11 0 1 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-4 -9 0 0 2 -3 2,-1 -10 0 0 5 -3 0,-,-,-,-,-,-,-,-,-,-,-3 0 4 1 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 0 3 0 4 -4 0,-5 0 3 3 2 -1 2,-,-,-,-,-,-,-,-,-,-,-3 -11 4 1 3 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-4 -12 5 3 2 -1 0,-1 -9 3 2 5 -3 0,-,-,-3 -11 4 1 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-4 -10 5 2 2 -3 2,-5 -13 2 2 4 -4 -1,-,-
AS4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -3 -4 -6 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -5 -7 -4,0 0 0 -5 -7 -7 -4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HG1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NJ1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QX0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WM1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 0 -4 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -1 -5 -3 0,0 0 0 -2 -7 -3 0,160,3 0 0 0 -4 -2 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 3 -4 0 -4 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 4 -3 0 -3 -1 0,4 2 -5 0 -5 -3 2,176,0 3 -4 0 -4 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CH3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HW8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KV9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YB6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BV4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RI7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UH2,0 0 1 3 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 0 0 -1,0 0 -1 1 0 0 -2,144,0 -4 0 3 0 0 0,0 0 0 3 1 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 0 0 -1,0 0 0 1 -3 0 0,210,0 -4 1 0 1 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 1,2 0 0 0 0 0 -1,228,1 0 0 0 1 -4 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 -4 1 3 1 -4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -3 2 4 0 -5 1,-1 -6 -1 4 2 -6 -2,300,0 -4 1 0 1 0 0
WW9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YV8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RB8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WC1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QY4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RT8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SL3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JB4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -4 -4 -6 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 -5 -7 -4,0 0 0 -6 -7 -7 -4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KR2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QU0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YF1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YV5,0 0 6 -6 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 5 -7 0 0 -1,0 0 4 -8 0 0 -2,192,0 1 0 -6 0 0 0,0 0 0 -6 1 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -7 0 0 -1,0 0 0 -8 -3 0 0,280,0 1 6 0 1 0 0,-,-,-,-,-,-,-,-,8 1 6 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 3 0 0 0 1,0 0 0 -2 -3 -1 -1,264,0 1 0 -6 0 0 0,-,-,-,-,-,-,-,-,8 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 0 0 0 0 1,9 0 0 0 0 0 -1,304,8 0 0 0 1 -1 0,-,-,-,-,-,-,-,-,8 1 6 0 1 -1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 2 7 0 2 0 -1,9 0 5 0 0 -2 1,352,0 1 6 0 1 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AP8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DA8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IK6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
US0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FN5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PO5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SI6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YW6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -3 -1 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -2 -5 -2,0 0 0 -5 -4 -5 -2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KU1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MK0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 -4 6 1 4 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -3 7 2 3 -3 1,-2 -6 4 2 5 -4 -2,-,-
UG0,0 0 5 -3 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 4 -4 0 0 -1,0 0 3 -5 0 0 -2,168,0 4 0 -3 0 0 0,0 0 0 -3 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -1 0 -1,0 0 0 -5 -4 0 0,245,0 4 5 0 0 0 0,-,-,-,-,-,-,-,-,8 4 5 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 3 2 0 0 0 1,0 0 0 -2 -3 -1 -1,231,0 4 0 -3 0 0 0,-,-,-,-,-,-,-,-,8 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 0 0 0 0 1,9 0 0 0 0 0 -1,266,8 0 0 0 0 2 0,8 0 5 -3 0 2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 0 4 -4 1 0 -1,6 0 4 -1 -1 3 1,315,8 0 0 0 0 2 0,8 4 5 0 0 2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 5 6 0 1 3 -1,9 3 4 0 -1 1 1,308,0 4 5 0 0 0 0,8 4 5 -3 0 2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 3 6 -1 -1 3 0,10 6 4 -2 2 1 0,329,0 4 0 -3 0 0 0,-,-,-,-,-,-,-,-
YZ0,0 0 3 -2 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 2 -3 0 0 -1,0 0 1 -4 0 0 -2,120,0 -1 0 -2 0 0 0,0 0 0 -2 -2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -3 0 -1,0 0 0 -4 -6 0 0,175,0 -1 3 0 -2 0 0,0 0 0 -2 -2 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -3 -3 -1,0 0 0 -4 -5 -3 -1,200,1 0 0 0 -2 -2 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 -1 3 0 -2 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 0 4 0 -1 -1 -1,2 -2 2 0 -3 -3 1,220,0 -1 3 0 -2 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DU9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EF9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 0 1 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -1 -2 0 0 0 1,0 0 0 -2 -3 -1 -1,-,-,2 0 0 2 -2 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 2 0 1 -3 3 1,4 1 0 1 0 3 -1,-,-,-,-,-,-,-,-,-,-,2 0 1 2 -2 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 0 1 -1 2 -1,0 0 0 4 -3 5 1,-,-,-,-,-,-,-,-,-,-,2 0 1 2 -2 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -1 2 4 -3 5 0,4 2 0 3 0 3 0,-,-,2 0 1 2 -2 4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 1 2 3 -3 3 1,0 -2 -1 3 -1 2 -2,-,-
IY2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RR8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AI4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 -7 3 0 0 0 -2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -8 0 0 0 0 -1,0 0 0 -2 -3 -1 -1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 -7 3 0 0 -2 -2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -6 4 0 1 -1 -3,2 -8 2 0 -1 -3 -1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BU5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DH1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -4 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 2 -1 0,0 0 0 -6 0 -1 0,-,-,2 -4 -3 0 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -5 -6 0 0 0 2,0 0 0 -2 -3 -1 -1,-,-,2 -4 0 -4 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -2 0 -5 2 -1 2,4 -3 0 -5 5 -1 0,-,-,-,-,-,-,-,-,-,-,2 0 -3 -4 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 -4 -5 4 -2 0,0 0 -4 -2 2 1 2,-,-,-,-,-,-,-,-,-,-,2 -4 -3 -4 3 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -5 -2 -2 2 1 0,4 -2 -4 -3 5 -1 0,-,-,-,-,-,-,-,-,-,-
TV9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
